State,Year,Crime,Arrests,Population,Crime Rate Per Capita
AL,2017,Motor Vehicle Theft,877,4921532,0.00017819654530337303
AL,2018,Motor Vehicle Theft,994,4921532,0.000201969630594701
AL,2019,Motor Vehicle Theft,920,4921532,0.00018693366211984397
AL,2020,Motor Vehicle Theft,20,4921532,4.063775263474869e-06
AL,2021,Motor Vehicle Theft,320,4921532,6.502040421559791e-05
AL,2017,Arson,104,4921532,2.113163137006932e-05
AL,2018,Arson,110,4921532,2.235076394911178e-05
AL,2019,Arson,88,4921532,1.7880611159289424e-05
AL,2020,Arson,3,4921532,6.095662895212304e-07
AL,2021,Arson,24,4921532,4.876530316169843e-06
AL,2017,Burglary,2880,4921532,0.0005851836379403812
AL,2018,Burglary,2809,4921532,0.0005707572357550453
AL,2019,Burglary,2198,4921532,0.0004466089014558881
AL,2020,Burglary,65,4921532,1.3207269606293326e-05
AL,2021,Burglary,696,4921532,0.00014141937916892545
AL,2017,Embezzlement,152,4921532,3.0884692002409006e-05
AL,2018,Embezzlement,150,4921532,3.047831447606152e-05
AL,2019,Embezzlement,140,4921532,2.8446426844324085e-05
AL,2020,Embezzlement,7,4921532,1.4223213422162041e-06
AL,2021,Embezzlement,4,4921532,8.127550526949739e-07
AL,2017,Forgery and Counterfeiting,1109,4921532,0.0002253363383596815
AL,2018,Forgery and Counterfeiting,983,4921532,0.00019973455419978981
AL,2019,Forgery and Counterfeiting,846,4921532,0.00017189769364498697
AL,2020,Forgery and Counterfeiting,34,4921532,6.908417947907278e-06
AL,2021,Forgery and Counterfeiting,195,4921532,3.9621808818879973e-05
AL,2017,Fraud,2819,4921532,0.0005727891233867829
AL,2018,Fraud,2611,4921532,0.0005305258606466441
AL,2019,Fraud,2309,4921532,0.00046916285416817366
AL,2020,Fraud,56,4921532,1.1378570737729633e-05
AL,2021,Fraud,431,4921532,8.757435692788343e-05
AL,2017,Larceny - Theft,13959,4921532,0.002836311945142285
AL,2018,Larceny - Theft,14513,4921532,0.002948878519940539
AL,2019,Larceny - Theft,13555,4921532,0.0027542236848200926
AL,2020,Larceny - Theft,435,4921532,8.838711198057841e-05
AL,2021,Larceny - Theft,2561,4921532,0.000520366422487957
AL,2017,Vandalism,1256,4921532,0.0002552050865462218
AL,2018,Vandalism,1234,4921532,0.0002507349337563994
AL,2019,Vandalism,1183,4921532,0.00024037230683453853
AL,2020,Vandalism,29,4921532,5.89247413203856e-06
AL,2021,Vandalism,627,4921532,0.00012739935450993716
AL,2017,"Stolen Property: Buying, Receiving, Possessing",2280,4921532,0.0004632703800361351
AL,2018,"Stolen Property: Buying, Receiving, Possessing",2177,4921532,0.0004423419374292395
AL,2019,"Stolen Property: Buying, Receiving, Possessing",1881,4921532,0.00038219806352981145
AL,2020,"Stolen Property: Buying, Receiving, Possessing",46,4921532,9.346683105992199e-06
AL,2021,"Stolen Property: Buying, Receiving, Possessing",622,4921532,0.00012638341069406842
AK,2017,Motor Vehicle Theft,694,731158,0.000949179247166823
AK,2018,Motor Vehicle Theft,726,731158,0.0009929454372379156
AK,2019,Motor Vehicle Theft,476,731158,0.000651022077307504
AK,2020,Motor Vehicle Theft,338,731158,0.0004622803826259167
AK,2021,Motor Vehicle Theft,96,731158,0.00013129857021327811
AK,2017,Arson,22,731158,3.0089255673876235e-05
AK,2018,Arson,43,731158,5.881081790803082e-05
AK,2019,Arson,49,731158,6.70169785463607e-05
AK,2020,Arson,42,731158,5.744312446830917e-05
AK,2021,Arson,13,731158,1.7780014716381413e-05
AK,2017,Burglary,623,731158,0.0008520730129465861
AK,2018,Burglary,602,731158,0.0008233514507124315
AK,2019,Burglary,603,731158,0.0008247191441521531
AK,2020,Burglary,471,731158,0.0006441836101088958
AK,2021,Burglary,151,731158,0.0002065217093979687
AK,2017,Embezzlement,77,731158,0.00010531239485856682
AK,2018,Embezzlement,54,731158,7.385544574496893e-05
AK,2019,Embezzlement,43,731158,5.881081790803082e-05
AK,2020,Embezzlement,35,731158,4.786927039025765e-05
AK,2021,Embezzlement,3,731158,4.103080319164941e-06
AK,2017,Forgery and Counterfeiting,113,731158,0.00015454935868854612
AK,2018,Forgery and Counterfeiting,154,731158,0.00021062478971713364
AK,2019,Forgery and Counterfeiting,78,731158,0.00010668008829828847
AK,2020,Forgery and Counterfeiting,53,731158,7.24877523052473e-05
AK,2021,Forgery and Counterfeiting,7,731158,9.573854078051529e-06
AK,2017,Fraud,219,731158,0.0002995248632990407
AK,2018,Fraud,201,731158,0.0002749063813840511
AK,2019,Fraud,121,731158,0.00016549090620631928
AK,2020,Fraud,199,731158,0.00027217099450460775
AK,2021,Fraud,19,731158,2.5986175354711293e-05
AK,2017,Larceny - Theft,2356,731158,0.0032222857439842003
AK,2018,Larceny - Theft,2392,731158,0.00327152270781418
AK,2019,Larceny - Theft,1885,731158,0.0025781021338753046
AK,2020,Larceny - Theft,1545,731158,0.0021130863643699445
AK,2021,Larceny - Theft,349,731158,0.0004773250104628548
AK,2017,Vandalism,1004,731158,0.0013731642134805337
AK,2018,Vandalism,1103,731158,0.0015085658640129767
AK,2019,Vandalism,1161,731158,0.0015878920835168322
AK,2020,Vandalism,1063,731158,0.0014538581264241107
AK,2021,Vandalism,323,731158,0.000441764981030092
AK,2017,"Stolen Property: Buying, Receiving, Possessing",105,731158,0.00014360781117077294
AK,2018,"Stolen Property: Buying, Receiving, Possessing",120,731158,0.00016412321276659765
AK,2019,"Stolen Property: Buying, Receiving, Possessing",91,731158,0.00012446010301466988
AK,2020,"Stolen Property: Buying, Receiving, Possessing",66,731158,9.02677670216287e-05
AK,2021,"Stolen Property: Buying, Receiving, Possessing",11,731158,1.5044627836938117e-05
AZ,2017,Motor Vehicle Theft,1735,7421401,0.00023378335168790907
AZ,2018,Motor Vehicle Theft,1794,7421401,0.00024173333309977457
AZ,2019,Motor Vehicle Theft,1570,7421401,0.00021155035282421743
AZ,2020,Motor Vehicle Theft,1684,7421401,0.00022691133385731345
AZ,2021,Motor Vehicle Theft,697,7421401,9.391757701813984e-05
AZ,2017,Arson,232,7421401,3.1260943856827035e-05
AZ,2018,Arson,417,7421401,5.618885167369342e-05
AZ,2019,Arson,180,7421401,2.42541805785727e-05
AZ,2020,Arson,218,7421401,2.937450758960471e-05
AZ,2021,Arson,101,7421401,1.3609290213532459e-05
AZ,2017,Burglary,4251,7421401,0.0005728028979972918
AZ,2018,Burglary,3993,7421401,0.0005380385725013377
AZ,2019,Burglary,3871,7421401,0.0005215996278869718
AZ,2020,Burglary,3542,7421401,0.0004772683756072472
AZ,2021,Burglary,1153,7421401,0.000155361501150524
AZ,2017,Embezzlement,457,7421401,6.15786695800429e-05
AZ,2018,Embezzlement,854,7421401,0.00011507261230056158
AZ,2019,Embezzlement,489,7421401,6.58905239051225e-05
AZ,2020,Embezzlement,345,7421401,4.6487179442264335e-05
AZ,2021,Embezzlement,54,7421401,7.27625417357181e-06
AZ,2017,Forgery and Counterfeiting,1219,7421401,0.00016425470069600067
AZ,2018,Forgery and Counterfeiting,1164,7421401,0.0001568437010747701
AZ,2019,Forgery and Counterfeiting,881,7421401,0.00011871073938734748
AZ,2020,Forgery and Counterfeiting,610,7421401,8.21947230718297e-05
AZ,2021,Forgery and Counterfeiting,194,7421401,2.6140616845795018e-05
AZ,2017,Fraud,2142,7421401,0.0002886247488850151
AZ,2018,Fraud,2183,7421401,0.0002941493122390233
AZ,2019,Fraud,2188,7421401,0.000294823039477317
AZ,2020,Fraud,1467,7421401,0.0001976715717153675
AZ,2021,Fraud,609,7421401,8.205997762417096e-05
AZ,2017,Larceny - Theft,30433,7421401,0.004100708208598349
AZ,2018,Larceny - Theft,27123,7421401,0.003654700776847929
AZ,2019,Larceny - Theft,26034,7421401,0.0035079629843475647
AZ,2020,Larceny - Theft,21274,7421401,0.0028665746534919756
AZ,2021,Larceny - Theft,7621,7421401,0.0010268950566072364
AZ,2017,Vandalism,10974,7421401,0.0014786965426069822
AZ,2018,Vandalism,10704,7421401,0.0014423152717391232
AZ,2019,Vandalism,9932,7421401,0.001338291786146578
AZ,2020,Vandalism,8874,7421401,0.0011957311025236341
AZ,2021,Vandalism,3285,7421401,0.00044263879555895175
AZ,2017,"Stolen Property: Buying, Receiving, Possessing",1452,7421401,0.00019565039000048643
AZ,2018,"Stolen Property: Buying, Receiving, Possessing",1136,7421401,0.00015307082854032548
AZ,2019,"Stolen Property: Buying, Receiving, Possessing",1020,7421401,0.00013744035661191197
AZ,2020,"Stolen Property: Buying, Receiving, Possessing",1023,7421401,0.00013784459295488816
AZ,2021,"Stolen Property: Buying, Receiving, Possessing",314,7421401,4.2310070564843485e-05
AR,2017,Motor Vehicle Theft,623,3030522,0.00020557514514001217
AR,2018,Motor Vehicle Theft,652,3030522,0.0002151444536617784
AR,2019,Motor Vehicle Theft,619,3030522,0.0002042552405163203
AR,2020,Motor Vehicle Theft,553,3030522,0.00018247681422540408
AR,2021,Motor Vehicle Theft,659,3030522,0.00021745428675323922
AR,2017,Arson,40,3030522,1.319904623691892e-05
AR,2018,Arson,69,3030522,2.276835475868514e-05
AR,2019,Arson,65,3030522,2.1448450134993246e-05
AR,2020,Arson,62,3030522,2.0458521667224327e-05
AR,2021,Arson,68,3030522,2.2438378602762166e-05
AR,2017,Burglary,2138,3030522,0.0007054890213633163
AR,2018,Burglary,2020,3030522,0.0006665518349644055
AR,2019,Burglary,1964,3030522,0.000648073170232719
AR,2020,Burglary,1702,3030522,0.0005616194173809001
AR,2021,Burglary,1651,3030522,0.0005447906334288285
AR,2017,Embezzlement,60,3030522,1.979856935537838e-05
AR,2018,Embezzlement,54,3030522,1.7818712419840543e-05
AR,2019,Embezzlement,52,3030522,1.7158760107994596e-05
AR,2020,Embezzlement,29,3030522,9.569308521766217e-06
AR,2021,Embezzlement,26,3030522,8.579380053997298e-06
AR,2017,Forgery and Counterfeiting,859,3030522,0.0002834495179378338
AR,2018,Forgery and Counterfeiting,905,3030522,0.0002986284211102906
AR,2019,Forgery and Counterfeiting,880,3030522,0.00029037901721221625
AR,2020,Forgery and Counterfeiting,618,3030522,0.00020392526436039733
AR,2021,Forgery and Counterfeiting,495,3030522,0.00016333819718187165
AR,2017,Fraud,918,3030522,0.0003029181111372892
AR,2018,Fraud,972,3030522,0.0003207368235571298
AR,2019,Fraud,951,3030522,0.00031380732428274734
AR,2020,Fraud,625,3030522,0.00020623509745185814
AR,2021,Fraud,502,3030522,0.00016564803027333246
AR,2017,Larceny - Theft,9975,3030522,0.003291512155331656
