State,Year,Crime,Arrests
AL,2017,Motor Vehicle Theft,877
AL,2018,Motor Vehicle Theft,994
AL,2019,Motor Vehicle Theft,920
AL,2020,Motor Vehicle Theft,20
AL,2021,Motor Vehicle Theft,320
AK,2017,Motor Vehicle Theft,694
AK,2018,Motor Vehicle Theft,726
AK,2019,Motor Vehicle Theft,476
AK,2020,Motor Vehicle Theft,338
AK,2021,Motor Vehicle Theft,96
AZ,2017,Motor Vehicle Theft,1735
AZ,2018,Motor Vehicle Theft,1794
AZ,2019,Motor Vehicle Theft,1570
AZ,2020,Motor Vehicle Theft,1684
AZ,2021,Motor Vehicle Theft,697
AR,2017,Motor Vehicle Theft,623
AR,2018,Motor Vehicle Theft,652
AR,2019,Motor Vehicle Theft,619
AR,2020,Motor Vehicle Theft,553
AR,2021,Motor Vehicle Theft,659
CA,2017,Motor Vehicle Theft,19541
CA,2018,Motor Vehicle Theft,18020
CA,2019,Motor Vehicle Theft,15240
CA,2020,Motor Vehicle Theft,16369
CA,2021,Motor Vehicle Theft,823
CO,2017,Motor Vehicle Theft,2879
CO,2018,Motor Vehicle Theft,2757
CO,2019,Motor Vehicle Theft,3175
CO,2020,Motor Vehicle Theft,3550
CO,2021,Motor Vehicle Theft,4042
CT,2017,Motor Vehicle Theft,930
CT,2018,Motor Vehicle Theft,817
CT,2019,Motor Vehicle Theft,660
CT,2020,Motor Vehicle Theft,667
CT,2021,Motor Vehicle Theft,666
DE,2017,Motor Vehicle Theft,134
DE,2018,Motor Vehicle Theft,115
DE,2019,Motor Vehicle Theft,200
DE,2020,Motor Vehicle Theft,159
DE,2021,Motor Vehicle Theft,184
DC,2017,Motor Vehicle Theft,5
DC,2018,Motor Vehicle Theft,9
DC,2019,Motor Vehicle Theft,1
DC,2020,Motor Vehicle Theft,11
DC,2021,Motor Vehicle Theft,9
FL,2017,Motor Vehicle Theft,8292
FL,2018,Motor Vehicle Theft,209
FL,2019,Motor Vehicle Theft,7776
FL,2020,Motor Vehicle Theft,7183
