State,epop2017,epop2018,epop2019,epop2020
AL,4877989,4891628,4907965,4921532
AK,740983,736624,733603,731158
AZ,7048088,7164228,7291843,7421401
AR,3003855,3012161,3020985,3030522
CA,39337785,39437463,39437610,39368078
CO,5617421,5697155,5758486,5807719
CN,3575324,3574561,3566022,3557006
DE,957942,966985,976668,986809
FL,20977089,21254926,21492056,21733312
GA,10417031,10519389,10628020,10710017
HI,1425763,1423102,1415615,1407006
ID,1719745,1752074,1789060,1826913
IL,12779893,12724685,12667017,12587530
IN,6662068,6698481,6731010,6754953
IA,3143734,3149900,3159596,3163561
KS,2910892,2912748,2912635,2913805
KY,4455590,4464273,4472345,4477251
LA,4673673,4664450,4658285,4645318
ME,1335743,1340123,1345770,1350141
MD,6028186,6042153,6054954,6055802
MA,6863560,6885720,6894883,6893574
MI,9976752,9987286,9984795,9966555
MN,5569283,5608762,5640053,5657342
MS,2990674,2982879,2978227,2966786
MO,6111382,6125986,6140475,6151548
MT,1053862,1061818,1070123,1080577
NE,1916998,1925512,1932571,1937552
NV,2972097,3030725,3090771,3138259
NH,1350395,1355064,1360783,1366275
NJ,8888147,8891730,8891258,8882371
NM,2092844,2093754,2099634,2106319
NY,19593849,19544098,19463131,19336776
NC,10275758,10391358,10501384,10600823
ND,756755,760062,763724,765309
OH,11665706,11680892,11696507,11693217
OK,3933602,3943488,3960676,3980783
OR,4147294,4183538,4216116,4241507
PA,12794679,12809107,12798883,12783254
RI,1056554,1059338,1058158,1057125
SC,5027102,5091702,5157702,5218040
SD,873732,879386,887127,892717
TN,6714748,6778180,6830325,6886834
TX,28291024,28624564,28986794,29360759
UT,3103540,3155153,3203383,3249879
VT,625132,624802,624046,623347
VA,8471011,8510920,8556642,8590563
WA,7427951,7526793,7614024,7693612
WV,1818683,1805953,1795263,1784787
WI,5793147,5809319,5824581,5832655
WY,579994,579054,580116,582328
