Year,State,State Name,Population,Total Arrests,Arrests per Capita,Larceny - Theft,Vehicle Theft,Arson,Burglary,Embezzlement,Forgery and Counterfeiting,Fraud,Vandalism,Dealing in Stolen Property,Larceny - Theft (%),Vehicle Theft (%),Burglary (%),Vandalism (%),Fraud (%),Dealing in Stolen Property (%),Forgery and Counterfeiting (%),Embezzlement (%),Arson (%)
2010,AL,Alabama,4921532.0,26725,543.0219695818294,12691,658,108,2183,163,1178,6370,1878,1496,1.2363683834174075,1.1511546536039188,0.9346274548420382,0.9271693194833919,4.188612497451983,1.9661444643044894,1.8940124766866036,1.2175991633674461,1.1875962172861227
2011,AL,Alabama,4921532.0,590,11.988137027250865,509,5,0,17,16,4,9,10,20,0.04966178277019083,0.00946485698601094,0.007218223892321084,0.005242216618875125,0.006818285125532206,0.026895457357252357,0.007130124777183601,0.12442647173186096,0.0
2012,AL,Alabama,4921532.0,559,11.35825186141226,462,3,0,24,20,6,22,4,18,0.04407589449261204,0.005361834462297367,0.01038974532136781,0.002165193432968318,0.017634987815826602,0.022629838699538603,0.011020700549198244,0.15584820384945064,0.0
2013,AL,Alabama,4921532.0,759,15.422027124887128,670,2,1,11,17,7,15,6,30,0.06515601949234709,0.002736502202884273,0.005342918204779484,0.003662221137119663,0.013029655495908688,0.039688839498333066,0.01415771696701252,0.13195684235038424,0.011745360582569885
2014,AL,Alabama,4921532.0,1065,21.63960327800368,877,10,1,36,13,18,59,15,36,0.08685550393523768,0.018162334949781145,0.01874628979681105,0.009393140502595638,0.05209161060196712,0.05020920502092051,0.03926102035029555,0.09963212752912325,0.013178703215603585
2015,AL,Alabama,4921532.0,29536,600.1383309099687,16607,736,93,3031,250,1195,4139,1506,1979,1.7444602593528258,1.18024374599102,1.7193358632699713,0.9695112530256992,3.7835713110408253,2.744304078321523,2.6510781790753395,1.9294589797020916,1.297071129707113
2016,AL,Alabama,4921532.0,28603,581.1808193058583,15174,929,108,3191,194,1416,3845,1641,2105,1.7178391951265624,1.3143002659724974,1.8435069961985973,1.0091754403227393,3.5475715972837323,2.665704227135729,2.987593889779728,1.4332151300236406,1.3185203271883776
2017,AL,Alabama,4921532.0,25436,516.8309380087338,13959,877,104,2880,152,1109,2819,1256,2280,1.6320341208423115,1.0676113261753464,1.5954441206776206,0.7730277329853887,2.4593882500741566,2.75040110016044,2.3037932610411733,1.0657691768335438,1.3445378151260505
2018,AL,Alabama,4921532.0,25581,519.7771750747531,14513,994,110,2809,150,983,2611,1234,2177,1.9331155087465053,1.331368872220734,1.8832000321799935,0.8261696258803997,2.567178266982607,2.7631812758611938,2.3206950280938665,1.225390082509599,1.449466332850178
2019,AL,Alabama,4921532.0,23120,469.77242045769486,13555,920,88,2198,140,846,2309,1183,1881,1.8422801597775402,1.29322462749508,1.501212307482157,0.8114800765521356,2.2967582783762546,2.5812737577362737,2.210320052253429,1.1814345991561181,1.2184990307394072
2020,AL,Alabama,4921532.0,695,14.12161904057517,435,20,3,65,7,34,56,29,46,0.08560043292172971,0.029808480512705866,0.05404866042473932,0.022103658536585368,0.08634247124487342,0.0700610749805809,0.13839703667521472,0.09426339886883921,0.04109589041095891
2010,AK,Alaska,731158.0,5382,736.0926092581905,3145,280,33,488,96,118,283,904,35,0.30638866644454704,0.489853044086774,0.20893183598850876,0.4463051463327936,0.18608749399982905,0.045999369151508776,0.18972281175638306,0.7171136176888026,0.3628766219485375
2011,AK,Alaska,731158.0,5191,709.969664559507,3107,278,44,427,102,64,245,896,28,0.3031417663398486,0.5262460484222083,0.1813048001188884,0.46970260905121125,0.18560887286171004,0.03765364030015331,0.11408199643493762,0.7932187572906136,0.4749055585536967
2012,AK,Alaska,731158.0,4715,644.8674568287566,3055,203,35,309,104,63,158,770,18,0.2914542373916229,0.3628174652821219,0.13376797101261056,0.4167997358464012,0.12665127613184557,0.022629838699538603,0.11571735576658157,0.8104106600171433,0.3731343283582089
2013,AK,Alaska,731158.0,5122,700.5325798254275,3461,215,66,264,87,49,172,776,32,0.3365746021836019,0.29417398681005935,0.12823003691470758,0.4736472670674764,0.14940671635308628,0.04233476213155527,0.09910401876908764,0.6753085461460839,0.7751937984496124
2014,AK,Alaska,731158.0,4528,619.2915895059617,2824,204,141,282,62,77,182,732,24,0.2796806648952237,0.37051163297553535,0.14684593674168656,0.4583852565266671,0.1606893750772545,0.03347280334728034,0.16794992038737538,0.4751686082158185,1.8581971534001054
2015,AK,Alaska,731158.0,4744,648.8337678039494,2540,361,67,485,72,39,230,898,52,0.26681092664275174,0.5788967286722257,0.27511642813788717,0.5781016634907555,0.2102491909976781,0.07210905107262214,0.0865205430827935,0.5556841861542023,0.9344490934449093
2016,AK,Alaska,731158.0,5014,685.7614906764338,2401,505,51,538,81,96,236,1024,82,0.2718157313496031,0.7144473996944145,0.31081377748506595,0.6297353143756764,0.21774431650428108,0.10384215991692627,0.20254873829015108,0.598404255319149,0.6226345989500672
2017,AK,Alaska,731158.0,5213,712.9785901268946,2356,694,22,623,77,113,219,1004,105,0.2754547165774401,0.8448372410099093,0.34512558582713804,0.617929812036091,0.19106279771771562,0.12666320856002028,0.2347417840375587,0.5398962277380451,0.2844214608920491
2018,AK,Alaska,731158.0,5395,737.8706107298285,2392,726,43,602,54,154,201,1103,120,0.3186117478758107,0.9724082507366729,0.403590750933555,0.7384644224846683,0.19762651538242204,0.1523113243469652,0.3635676849709618,0.44114042970345557,0.5666095664777968
2019,AK,Alaska,731158.0,4507,616.4194332825463,1885,476,49,603,43,78,121,1161,91,0.25619314652752956,0.6691031768344111,0.4118430488679438,0.7963891537422059,0.12035848925228532,0.12487820943859697,0.2037883736120183,0.3628691983122363,0.6784824148435337
2020,AK,Alaska,731158.0,3812,521.3647392218919,1545,338,42,471,35,53,199,1063,66,0.30402912382545383,0.5037633206647291,0.39164490861618795,0.8102134146341464,0.3068241388880323,0.10052241192865954,0.21573655717018764,0.47131699434419605,0.5753424657534246
2010,AZ,Arizona,7421401.0,57272,771.7141278311198,34257,1494,209,4381,217,1959,2102,11488,1165,3.337347073574197,2.6137158852344298,1.8756769948066738,5.671630001184881,1.382176368860921,1.5311218589002207,3.1497202392436816,1.6209755733173976,2.2982186056740708
2011,AZ,Arizona,7421401.0,56854,766.0817681189845,33932,1415,242,4644,200,1825,2128,11219,1249,3.310655428208478,2.6785545270410966,1.971848926819948,5.8812428247160025,1.6121456385702813,1.6796213119604098,3.2531194295900177,1.555330896648262,2.611980572045332
