Year,State,State Name,Population,Total Arrests,Arrests per Capita,Larceny - Theft,Vehicle Theft,Arson,Burglary,Embezzlement,Forgery and Counterfeiting,Fraud,Vandalism,Dealing in Stolen Property
2010,AL,Alabama,4921532,26725,543.0219696,12691,658,108,2183,163,1178,6370,1878,1496
2011,AL,Alabama,4921532,590,11.98813703,509,5,0,17,16,4,9,10,20
2012,AL,Alabama,4921532,559,11.35825186,462,3,0,24,20,6,22,4,18
2013,AL,Alabama,4921532,759,15.42202712,670,2,1,11,17,7,15,6,30
2014,AL,Alabama,4921532,1065,21.63960328,877,10,1,36,13,18,59,15,36
2015,AL,Alabama,4921532,29536,600.1383309,16607,736,93,3031,250,1195,4139,1506,1979
2016,AL,Alabama,4921532,28603,581.1808193,15174,929,108,3191,194,1416,3845,1641,2105
2017,AL,Alabama,4921532,25436,516.830938,13959,877,104,2880,152,1109,2819,1256,2280
2018,AL,Alabama,4921532,25581,519.7771751,14513,994,110,2809,150,983,2611,1234,2177
2019,AL,Alabama,4921532,23120,469.7724205,13555,920,88,2198,140,846,2309,1183,1881
2020,AL,Alabama,4921532,695,14.12161904,435,20,3,65,7,34,56,29,46
2010,AK,Alaska,731158,5382,736.0926093,3145,280,33,488,96,118,283,904,35
2011,AK,Alaska,731158,5191,709.9696646,3107,278,44,427,102,64,245,896,28
2012,AK,Alaska,731158,4715,644.8674568,3055,203,35,309,104,63,158,770,18
2013,AK,Alaska,731158,5122,700.5325798,3461,215,66,264,87,49,172,776,32
2014,AK,Alaska,731158,4528,619.2915895,2824,204,141,282,62,77,182,732,24
2015,AK,Alaska,731158,4744,648.8337678,2540,361,67,485,72,39,230,898,52
2016,AK,Alaska,731158,5014,685.7614907,2401,505,51,538,81,96,236,1024,82
2017,AK,Alaska,731158,5213,712.9785901,2356,694,22,623,77,113,219,1004,105
2018,AK,Alaska,731158,5395,737.8706107,2392,726,43,602,54,154,201,1103,120
2019,AK,Alaska,731158,4507,616.4194333,1885,476,49,603,43,78,121,1161,91
2020,AK,Alaska,731158,3812,521.3647392,1545,338,42,471,35,53,199,1063,66
2010,AZ,Arizona,7421401,57272,771.7141278,34257,1494,209,4381,217,1959,2102,11488,1165
2011,AZ,Arizona,7421401,56854,766.0817681,33932,1415,242,4644,200,1825,2128,11219,1249
2012,AZ,Arizona,7421401,55917,753.4561197,32925,1591,650,4436,213,1689,2328,10782,1303
2013,AZ,Arizona,7421401,59330,799.444741,36533,1628,218,4320,201,1531,2298,11341,1260
2014,AZ,Arizona,7421401,58001,781.537071,36732,1602,208,3946,156,1157,2096,10915,1189
2015,AZ,Arizona,7421401,42584,573.8000143,27115,1081,159,2743,140,715,1516,8148,967
2016,AZ,Arizona,7421401,53931,726.6956738,32711,1625,189,4077,363,1122,2050,10425,1369
